1 0,883 path: 1 
393 0,000675711186089472 path: 0 1 1 0 2 2 
394 0,011960611416 path: 0 1 1 2 
395 0,006207557324904 path: 0 1 1 2 1 
396 0,000980794057334832 path: 0 1 1 2 1 1 
397 0,00285547636945584 path: 0 1 1 2 1 0 
398 0,00237128689811333 path: 0 1 1 2 1 2 
399 0,0002990152854 path: 0 1 1 2 0 
400 4,72444150932E-05 path: 0 1 1 2 0 1 
401 0,000137547031284 path: 0 1 1 2 0 0 
402 0,0001142238390228 path: 0 1 1 2 0 2 
403 0,005454038805696 path: 0 1 1 2 2 
404 0,000861738131299968 path: 0 1 1 2 2 1 
405 0,00250885785062016 path: 0 1 1 2 2 0 
406 0,00208344282377587 path: 0 1 1 2 2 2 
407 0,006599346 path: 0 1 0 
408 0,003689034414 path: 0 1 0 1 
409 0,001914608860866 path: 0 1 0 1 1 
410 0,000302508200016828 path: 0 1 0 1 1 1 
411 0,00088072007599836 path: 0 1 0 1 1 0 
412 0,000731380584850812 path: 0 1 0 1 1 2 
413 9,222586035E-05 path: 0 1 0 1 0 
414 1,45716859353E-05 path: 0 1 0 1 0 1 
415 4,2423895761E-05 path: 0 1 0 1 0 0 
416 3,52302786537E-05 path: 0 1 0 1 0 2 
417 0,001682199692784 path: 0 1 0 1 2 
418 0,000265787551459872 path: 0 1 0 1 2 1 
419 0,00077381185868064 path: 0 1 0 1 2 0 
420 0,000642600282643488 path: 0 1 0 1 2 2 
421 0,000712729368 path: 0 1 0 0 
422 0,000369906541992 path: 0 1 0 0 1 
423 5,8445233634736E-05 path: 0 1 0 0 1 1 
424 0,00017015700931632 path: 0 1 0 0 1 0 
425 0,000141304299040944 path: 0 1 0 0 1 2 
426 1,78182342E-05 path: 0 1 0 0 0 
427 2,8152810036E-06 path: 0 1 0 0 0 1 
428 8,196387732E-06 path: 0 1 0 0 0 0 
429 6,8065654644E-06 path: 0 1 0 0 0 2 
430 0,000325004591808 path: 0 1 0 0 2 
431 5,1350725505664E-05 path: 0 1 0 0 2 1 
432 0,00014950211223168 path: 0 1 0 0 2 0 
433 0,000124151754070656 path: 0 1 0 0 2 2 
434 0,002197582218 path: 0 1 0 2 
435 0,001140545171142 path: 0 1 0 2 1 
436 0,000180206137040436 path: 0 1 0 2 1 1 
437 0,00052465077872532 path: 0 1 0 2 1 0 
438 0,000435688255376244 path: 0 1 0 2 1 2 
439 5,493955545E-05 path: 0 1 0 2 0 
440 8,6804497611E-06 path: 0 1 0 2 0 1 
441 2,5272195507E-05 path: 0 1 0 2 0 0 
442 2,09869101819E-05 path: 0 1 0 2 0 2 
443 0,001002097491408 path: 0 1 0 2 2 
444 0,000158331403642464 path: 0 1 0 2 2 1 
445 0,00046096484604768 path: 0 1 0 2 2 0 
446 0,000382801241717856 path: 0 1 0 2 2 2 
447 0,011575902 path: 0 1 2 
448 0,006470929218 path: 0 1 2 1 
449 0,003358412264142 path: 0 1 2 1 1 
450 0,000530629137734436 path: 0 1 2 1 1 1 
451 0,00154486964150532 path: 0 1 2 1 1 0 
452 0,00128291348490224 path: 0 1 2 1 1 2 
453 0,00016177323045 path: 0 1 2 1 0 
454 2,55601704111E-05 path: 0 1 2 1 0 1 
455 7,4415686007E-05 path: 0 1 2 1 0 0 
456 6,17973740319E-05 path: 0 1 2 1 0 2 
457 0,002950743723408 path: 0 1 2 1 2 
458 0,000466217508298464 path: 0 1 2 1 2 1 
459 0,00135734211276768 path: 0 1 2 1 2 0 
460 0,00112718410234186 path: 0 1 2 1 2 2 
461 0,001250197416 path: 0 1 2 0 
462 0,000648852458904 path: 0 1 2 0 1 
463 0,000102518688506832 path: 0 1 2 0 1 1 
464 0,00029847213109584 path: 0 1 2 0 1 0 
465 0,000247861639301328 path: 0 1 2 0 1 2 
466 3,12549354E-05 path: 0 1 2 0 0 
467 4,9382797932E-06 path: 0 1 2 0 0 1 
468 1,4377270284E-05 path: 0 1 2 0 0 0 
469 1,19393853228E-05 path: 0 1 2 0 0 2 
470 0,000570090021696 path: 0 1 2 0 2 
471 9,0074223427968E-05 path: 0 1 2 0 2 1 
472 0,00026224140998016 path: 0 1 2 0 2 0 
473 0,000217774388287872 path: 0 1 2 0 2 2 
474 0,003854775366 path: 0 1 2 2 
475 0,002000628414954 path: 0 1 2 2 1 
476 0,000316099289562732 path: 0 1 2 2 1 1 
477 0,00092028907087884 path: 0 1 2 2 1 0 
478 0,000764240054512428 path: 0 1 2 2 1 2 
479 9,636938415E-05 path: 0 1 2 2 0 
480 1,52263626957E-05 path: 0 1 2 2 0 1 
481 4,4329916709E-05 path: 0 1 2 2 0 0 
482 3,68131047453E-05 path: 0 1 2 2 0 2 
483 0,001757777566896 path: 0 1 2 2 2 
484 0,000277728855569568 path: 0 1 2 2 2 1 
485 0,00080857768077216 path: 0 1 2 2 2 0 
486 0,000671471030554272 path: 0 1 2 2 2 2 
487 0,002166 path: 0 0 
488 0,001438224 path: 0 0 1 
489 0,000803967216 path: 0 0 1 1 
490 0,000417258985104 path: 0 0 1 1 1 
491 6,5926919646432E-05 path: 0 0 1 1 1 1 
492 0,00019193913314784 path: 0 0 1 1 1 0 
493 0,000159392932309728 path: 0 0 1 1 1 2 
494 2,00991804E-05 path: 0 0 1 1 0 
495 3,1756705032E-06 path: 0 0 1 1 0 1 
496 9,245622984E-06 path: 0 0 1 1 0 0 
497 7,6778869128E-06 path: 0 0 1 1 0 2 
498 0,000366609050496 path: 0 0 1 1 2 
499 5,7924229978368E-05 path: 0 0 1 1 2 1 
500 0,00016864016322816 path: 0 0 1 1 2 0 
501 0,000140044657289472 path: 0 0 1 1 2 2 
502 0,000155328192 path: 0 0 1 0 
503 8,0615331648E-05 path: 0 0 1 0 1 
504 1,2737222400384E-05 path: 0 0 1 0 1 1 
505 3,708305255808E-05 path: 0 0 1 0 1 0 
506 3,0795056689536E-05 path: 0 0 1 0 1 2 
507 3,8832048E-06 path: 0 0 1 0 0 
508 6,135463584E-07 path: 0 0 1 0 0 1 
509 1,786274208E-06 path: 0 0 1 0 0 0 
